datetime,open,high,low,close,volume
2026-07-06T00:00:00+00:00,392.78,419.87,390.4,419.66,77173
2026-07-07T00:00:00+00:00,419.66,419.66,401.77,402.96,71777
2026-07-08T00:00:00+00:00,402.96,402.96,390.39,393.55,106421
2026-07-09T00:00:00+00:00,393.55,407.7,390.75,406.25,55412
2026-07-10T00:00:00+00:00,406.25,413,402.68,407.67,76290
2026-07-13T00:00:00+00:00,407.67,407.67,391.24,394.56,82779
2026-07-14T00:00:00+00:00,394.56,402,394.56,396.02,73539
2026-07-15T00:00:00+00:00,396.02,406.43,390.53,394.14,59058
2026-07-16T00:00:00+00:00,394.14,395.15,385.18,390.96,108276
2026-07-17T00:00:00+00:00,390.96,390.96,377.1,380.64,99089
2026-07-20T00:00:00+00:00,380.64,385.91,369.25,369.47,65800
2026-07-21T00:00:00+00:00,369.47,383.88,369.47,378.91,39219
2026-07-22T00:00:00+00:00,378.91,380.04,372.73,374.02,45929
2026-07-23T00:00:00+00:00,374.02,374.02,315.61,319.31,186340
2026-07-24T00:00:00+00:00,319.31,322.67,306.39,312.59,107363
2026-07-27T00:00:00+00:00,312.59,316.79,304.16,308.86,75017
2026-07-28T00:00:00+00:00,308.86,310.98,300.57,307.15,70016
2026-07-29T00:00:00+00:00,307.15,308.64,297.23,298.17,103515
2026-07-30T00:00:00+00:00,298.17,310.71,298.17,308.74,76456
2026-07-31T00:00:00+00:00,308.74,315.29,301.84,311.2,67285
